representation,response,model,n_obs,converged,log_likelihood,aic,bic,df_modelwc,var_fixed,var_random_speaker,var_residual,icc,marginal_r2,conditional_r2,comparison,lr_statistic,raw_lr_statistic,lrt_note,df,p_value
whisper_layer20,whisper_pc5,,,,,,,,,,,,,,null_model_vs_main_effects,7.038583806905081,7.038583806905081,,2.0,0.02962040184808202
whisper_layer20,whisper_pc5,,,,,,,,,,,,,,main_effects_vs_full_interaction,0.02444446309527848,0.02444446309527848,,1.0,0.8757593128379471
whisper_layer20,whisper_pc5,,,,,,,,,,,,,,full_interaction_vs_extended_height,1455.5626721479057,1455.5626721479057,,2.0,0.0
xlsr_layer18,xlsr_pc1,null_model,8277.0,True,-43613.58875535031,87233.17751070063,87254.24121828929,2.0,0.0,7.887093825027722e-30,2209.7275480812964,3.56926075880987e-33,0.0,3.56926075880987e-33,,,,,,
xlsr_layer18,xlsr_pc1,main_effects,8277.0,True,-43607.01397450418,87224.02794900836,87259.1341283228,4.0,0.2339242045922056,6.60666185687023e-30,2206.2197699325293,2.9945619864843632e-33,0.0001060181798574687,0.0001060181798574687,,,,,,
xlsr_layer18,xlsr_pc1,full_interaction,8277.0,True,-43613.70455177182,87239.40910354364,87281.53651872095,5.0,1.8196376999471986,2.4876541603930798e-30,2209.7893777592913,1.1257426546757778e-33,0.0008227664506826731,0.0008227664506826731,,,,,,
xlsr_layer18,xlsr_pc1,extended_height,8277.0,True,-39333.19703875849,78682.39407751698,78738.56396442006,7.0,1416.6360787474302,2.033677683511435,784.1524302396089,0.0025867636975726166,0.6431005132051084,0.6440237278412317,,,,,,
xlsr_layer18,xlsr_pc1,,,,,,,,,,,,,,null_model_vs_main_effects,13.149561692262068,13.149561692262068,,2.0,0.0013951116289870758
xlsr_layer18,xlsr_pc1,,,,,,,,,,,,,,main_effects_vs_full_interaction,0.0,-13.381154535280075,optimizer_nonmonotonic,1.0,1.0
xlsr_layer18,xlsr_pc1,,,,,,,,,,,,,,full_interaction_vs_extended_height,8561.015026026667,8561.015026026667,,2.0,0.0
xlsr_layer18,xlsr_pc2,null_model,8277.0,True,-36601.441847763475,73208.88369552695,73229.94740311561,2.0,2.01972793427219e-28,8.677251922089544,403.78746900079346,0.021037561473559088,4.896728936605978e-31,0.021037561473559088,,,,,,
xlsr_layer18,xlsr_pc2,main_effects,8277.0,True,-36600.85902881397,73211.71805762794,73246.82423694237,4.0,0.5727710843661314,8.101209621166761,403.7879334776157,0.01966842233378282,0.0013886641764257527,0.021029773676706838,,,,,,
xlsr_layer18,xlsr_pc2,full_interaction,8277.0,True,-36598.724008631936,73209.44801726387,73251.57543244118,5.0,2.4119272384100747,6.279886393799908,403.7884612061387,0.015314243175692615,0.005847375948717331,0.021072070987191594,,,,,,
xlsr_layer18,xlsr_pc2,extended_height,8277.0,True,-36228.85536098585,72473.7107219717,72529.88060887478,7.0,36.956086342529545,6.666786070702493,369.1550633994117,0.017739218941374094,0.08953018835605493,0.10568121168431852,,,,,,
xlsr_layer18,xlsr_pc2,,,,,,,,,,,,,,null_model_vs_main_effects,1.1656378990155645,1.1656378990155645,,2.0,0.5583222638612405
xlsr_layer18,xlsr_pc2,,,,,,,,,,,,,,main_effects_vs_full_interaction,4.270040364062879,4.270040364062879,,1.0,0.038790009046198975
xlsr_layer18,xlsr_pc2,,,,,,,,,,,,,,full_interaction_vs_extended_height,739.7372952921723,739.7372952921723,,2.0,2.3339271618765555e-161
xlsr_layer18,xlsr_pc3,null_model,8277.0,True,-39545.424203804476,79096.84840760895,79117.91211519761,2.0,1.262329958920119e-29,16.089908662894583,822.5814018238513,0.01918499948872266,1.5051545738311845e-32,0.01918499948872266,,,,,,
xlsr_layer18,xlsr_pc3,main_effects,8277.0,True,-39541.60656302818,79093.21312605636,79128.3193053708,4.0,5.943611492139828,10.131849569609795,822.5827177858506,0.012167253902842819,0.007087048862156143,0.019168072842071254,,,,,,
xlsr_layer18,xlsr_pc3,full_interaction,8277.0,True,-39541.20859591151,79094.41719182301,79136.54460700032,5.0,6.435331192713751,9.637913209852,822.5828432169263,0.01158095749886524,0.0076733851786377726,0.019165477529876785,,,,,,
xlsr_layer18,xlsr_pc3,extended_height,8277.0,True,-34555.651274541335,69127.30254908267,69183.47243598575,7.0,581.9465643770166,10.443394537468222,245.94454100201654,0.04073278454188379,0.6941698861671312,0.7066271983003052,,,,,,
xlsr_layer18,xlsr_pc3,,,,,,,,,,,,,,null_model_vs_main_effects,7.635281552589731,7.635281552589731,,2.0,0.02197959455432477
xlsr_layer18,xlsr_pc3,,,,,,,,,,,,,,main_effects_vs_full_interaction,0.7959342333488166,0.7959342333488166,,1.0,0.3723117537676366
xlsr_layer18,xlsr_pc3,,,,,,,,,,,,,,full_interaction_vs_extended_height,9971.114642740344,9971.114642740344,,2.0,0.0
xlsr_layer18,xlsr_pc4,null_model,8277.0,True,-40414.01830981746,80834.03661963492,80855.10032722358,2.0,0.0,26.073111261533235,1014.1029142610118,0.025066056726730544,0.0,0.025066056726730544,,,,,,
xlsr_layer18,xlsr_pc4,main_effects,8277.0,True,-40413.39511150913,80836.79022301827,80871.8964023327,4.0,1.8068215570512332,24.259099033617293,1014.1038469047575,0.02336283197364502,0.001737044868552362,0.025059294554802707,,,,,,
xlsr_layer18,xlsr_pc4,full_interaction,8277.0,True,-40412.694480903374,80837.38896180675,80879.51637698406,5.0,3.7365097746835634,22.36572335491411,1014.1041346839022,0.021578749426668327,0.0035920850807111076,0.025093321803503495,,,,,,
xlsr_layer18,xlsr_pc4,extended_height,8277.0,True,-39318.30724837113,78652.61449674226,78708.78438364534,7.0,239.42168788987692,24.39270528355331,777.8841366119415,0.03040434923426435,0.22983778995944884,0.2532540707605546,,,,,,
xlsr_layer18,xlsr_pc4,,,,,,,,,,,,,,null_model_vs_main_effects,1.2463966166542377,1.2463966166542377,,2.0,0.5362266738537019
xlsr_layer18,xlsr_pc4,,,,,,,,,,,,,,main_effects_vs_full_interaction,1.401261211518431,1.401261211518431,,1.0,0.23651251685288058
xlsr_layer18,xlsr_pc4,,,,,,,,,,,,,,full_interaction_vs_extended_height,2188.774465064489,2188.774465064489,,2.0,0.0
xlsr_layer18,xlsr_pc5,null_model,8277.0,True,-35781.93867587144,71569.87735174288,71590.94105933154,2.0,7.889562243250743e-31,9.925611551101907,331.01651138971636,0.02911230640992056,2.3140473741404598e-33,0.02911230640992056,,,,,,
xlsr_layer18,xlsr_pc5,main_effects,8277.0,True,-35779.63439914306,71569.26879828612,71604.37497760056,4.0,2.322867893033232,7.005185365936441,331.0749061285114,0.02072049062389551,0.006823876905221347,0.0274029734516836,,,,,,
xlsr_layer18,xlsr_pc5,full_interaction,8277.0,True,-35779.2684182035,71570.536836407,71612.66425158431,5.0,2.6196194237006556,7.312327101789827,331.01603120301735,0.021613107273739073,0.007683340552870568,0.02913038696301978,,,,,,
xlsr_layer18,xlsr_pc5,extended_height,8277.0,True,-33694.21218536227,67404.42437072453,67460.59425762761,7.0,133.59852393320202,7.321826704617631,199.79124315747805,0.035351833225652066,0.39211616618326495,0.4136059740969241,,,,,,
xlsr_layer18,xlsr_pc5,,,,,,,,,,,,,,null_model_vs_main_effects,4.608553456753725,4.608553456753725,,2.0,0.09983097946258528
xlsr_layer18,xlsr_pc5,,,,,,,,,,,,,,main_effects_vs_full_interaction,0.7319618791225366,0.7319618791225366,,1.0,0.3922480053633417
xlsr_layer18,xlsr_pc5,,,,,,,,,,,,,,full_interaction_vs_extended_height,4170.112465682469,4170.112465682469,,2.0,0.0
