speaker_id,sentence_id,sentence_number,repetition_index,list_id,token_index,phoneme_label,phoneme_label_raw,word_label,onset,offset,duration,duration_ms,l1_status,native_language,gender,age,fr_level,ru_level,recording_duration,speaker_l1_from_filename,textgrid_path,wav_path,is_vowel,is_fricative,midpoint_s,f1_hz,f2_hz,f3_hz,f1_25_hz,f2_25_hz,f3_25_hz,f1_75_hz,f2_75_hz,f3_75_hz,f0_mean_hz,scg_hz,rms_energy,max_formant_hz,extraction_error
AB,FRcorp3,3,1,list1,6,a,a,cache cache,1.47586,1.62618,0.15032,150.32000000000002,L2,ru,f,22,A1,C2,153.11,rus,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp3.TextGrid,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp3.wav,True,False,1.5510199999999998,822.0775646903651,1781.3550658992776,2881.3330915132383,829.4503767479548,1817.1426035355498,2792.541703038271,523.1033365694199,1806.8058076840532,2997.561296331878,231.01253230438533,,0.012639919522810678,5000,
AB,FRcorp3,3,1,list1,7,ʃ,ʃ,cache cache,1.62618,1.9,0.2738199999999999,273.81999999999994,L2,ru,f,22,A1,C2,153.11,rus,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp3.TextGrid,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp3.wav,False,True,1.76309,2514.159705594171,2886.5963136224245,,,,,,,,,5031.666716121362,0.013165370056694147,5000,
AB,FRcorp3,3,1,list1,8,k,k,cache cache,1.9,1.97,0.07,70.00000000000006,L2,ru,f,22,A1,C2,153.11,rus,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp3.TextGrid,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp3.wav,False,False,1.935,993.640131907583,2317.898211341328,,,,,,,,,,0.0021362714269803373,5000,
AB,FRcorp3,3,1,list1,9,a,a,cache cache,1.97,2.11,0.1399999999999999,139.99999999999991,L2,ru,f,22,A1,C2,153.11,rus,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp3.TextGrid,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp3.wav,True,False,2.04,785.0200909920181,1859.465755233921,2843.287642654713,700.8396256010318,1972.188817519647,2827.569724936245,728.7408109054508,1824.7103412172435,3036.916701938757,230.9844209996307,,0.010321339990029746,5000,
AB,FRcorp3,3,1,list1,10,ʃ,ʃ,cache cache,2.11,2.39,0.2800000000000002,280.0000000000002,L2,ru,f,22,A1,C2,153.11,rus,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp3.TextGrid,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp3.wav,False,True,2.25,1236.4078609907165,2796.5989077622944,,,,,,,,,4858.080439903932,0.009028967701326758,5000,
AB,FRcorp3,3,1,list1,12,t,t,trois,2.74,2.79,0.0499999999999998,49.99999999999982,L2,ru,f,22,A1,C2,153.11,rus,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp3.TextGrid,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp3.wav,False,False,2.765,1099.6153724385351,2375.362159127935,,,,,,,,,,0.0012985826871865051,5000,
AB,FRcorp3,3,1,list1,13,ʁ,ʁ,trois,2.79,2.88,0.0899999999999998,89.99999999999986,L2,ru,f,22,A1,C2,153.11,rus,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp3.TextGrid,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp3.wav,False,True,2.835,926.7029030426021,1179.5699902057574,,,,,,,,,3851.2618242944272,0.00250447634092628,5000,
AB,FRcorp3,3,1,list1,14,w,w,trois,2.88,2.94,0.06,60.00000000000006,L2,ru,f,22,A1,C2,153.11,rus,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp3.TextGrid,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp3.wav,False,False,2.91,456.9464092823236,961.5564372017668,,,,,,,,223.42587132173028,,0.015345104658809151,5000,
AB,FRcorp3,3,1,list1,15,a,a,trois,2.94,3.11994,0.1799400000000002,179.94000000000025,L2,ru,f,22,A1,C2,153.11,rus,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp3.TextGrid,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp3.wav,True,False,3.02997,771.2551968034135,1321.926134172972,2870.34900969455,703.0548148699601,1294.459709140891,2759.5164917932643,692.5190669889345,1425.6266556550377,2919.444748616981,225.3218974619884,,0.012523078302931388,5000,
AB,FRcorp3,3,1,list1,16,f,f,fois,3.11994,3.29,0.1700599999999998,170.0599999999999,L2,ru,f,22,A1,C2,153.11,rus,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp3.TextGrid,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp3.wav,False,True,3.2049700000000003,1311.8380262777378,2425.5432472862094,,,,,,,,,6662.231614463663,0.0006022002449475049,5000,
AB,FRcorp3,3,1,list1,17,w,w,fois,3.29,3.34,0.0499999999999998,49.99999999999982,L2,ru,f,22,A1,C2,153.11,rus,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp3.TextGrid,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp3.wav,False,False,3.315,524.3764112320127,934.6475922379087,,,,,,,,211.25991045075443,,0.010395474299604267,5000,
AB,FRcorp3,3,1,list1,18,a,a,fois,3.34,3.53,0.1899999999999999,189.99999999999991,L2,ru,f,22,A1,C2,153.11,rus,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp3.TextGrid,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp3.wav,True,False,3.4349999999999996,667.6510358018306,1398.210813683916,2823.6978066398265,729.521776026825,1258.4976379143786,2808.2771645402054,585.573016766812,1410.0335428304093,3200.9105314306244,213.79147912334278,,0.007789250321761061,5000,
AB,FRcorp4,4,1,list1,2,d,d,dis,0.89914,1.11,0.21086,210.86000000000004,L2,ru,f,22,A1,C2,153.11,rus,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp4.TextGrid,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp4.wav,False,False,1.0045700000000002,261.67572193863197,614.2589701259786,,,,,,,,214.12404322196653,,0.005373293684198483,5000,
AB,FRcorp4,4,1,list1,3,i,i,dis,1.11,1.37338,0.2633799999999999,263.37999999999994,L2,ru,f,22,A1,C2,153.11,rus,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp4.TextGrid,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp4.wav,True,False,1.2416900000000002,414.13221066920613,2692.772157442532,3728.017847239704,370.0564258978718,2739.191035436843,3520.1379998651414,456.223239371821,2740.8553527635017,3802.3379890602073,220.11893752029258,,0.008927219186830091,5000,
AB,FRcorp4,4,1,list1,5,i,i,hier,1.42,1.52,0.1,100.00000000000009,L2,ru,f,22,A1,C2,153.11,rus,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp4.TextGrid,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp4.wav,True,False,1.47,400.6515999963798,2714.3135682067646,3732.9032821376495,387.6136918073459,2620.663164565278,3320.301273114567,399.81728539710565,2697.397535712787,3601.3692690766725,99.72248132386777,,0.004357034884812725,5000,
AB,FRcorp4,4,1,list1,6,j,j,hier,1.52,1.67,0.1499999999999999,149.99999999999991,L2,ru,f,22,A1,C2,153.11,rus,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp4.TextGrid,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp4.wav,False,False,1.595,416.36472778193223,2691.5163915477146,,,,,,,,208.6513597682623,,0.00961406240077644,5000,
AB,FRcorp4,4,1,list1,7,ɛ,ɛ,hier,1.67,1.83,0.1600000000000001,160.00000000000014,L2,ru,f,22,A1,C2,153.11,rus,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp4.TextGrid,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp4.wav,True,False,1.75,633.145176559449,2230.453568797321,2969.7927332306044,479.6572336289443,2462.636354579113,3122.378954301642,684.9445278165704,1908.694580924676,2231.1433252718616,223.39772488353134,,0.015182532698117767,5000,
AB,FRcorp4,4,1,list1,8,ʁ,ʁ,hier,1.83,2.02342,0.1934200000000001,193.42000000000016,L2,ru,f,22,A1,C2,153.11,rus,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp4.TextGrid,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp4.wav,False,True,1.9267100000000001,299.07889879957554,1359.667757111919,,,,,,,,305.7476437576597,3070.121198770558,0.00557181542971675,5000,
AB,FRcorp4,4,1,list1,10,t,t,trois,2.28,2.32,0.04,40.000000000000036,L2,ru,f,22,A1,C2,153.11,rus,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp4.TextGrid,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp4.wav,False,False,2.3,854.0842318243751,1958.3011664176038,,,,,,,,,,0.001790565357653698,5000,
